,(iface=eth0)inBytes,(iface=eth0)inMulticast,(iface=eth0)inPackets,(iface=eth0)outBytes,(iface=eth0)outPackets,(iface=eth0)totalBytes,(iface=eth0)totalPackets,busy,iowait,kernelFilesAllocated,load1,load5,memAvailable,memBuffers,memCached,memShmem,memUsed,nice,retrans,softirq,ssClosed,ssEstab,ssOrphaned,ssTimeWait,switches,system,tcpAbortOnTimeout,tcpDelayedACKLocked,tcpFastRetransRate,tcpLostRetransmit,tcpPkgInsegs,tcpPkgOutsegs,tcpPkgRetranssegs,tcpTW,udpInDatagrams,udpNoPorts,udpOutDatagrams,user,udpIgnoreMulti_Diff
2021-10-30 02:00:00,1119002.4666666666,26.66666666666667,10455.966666666667,1091413.333333333,9775.8,2210415.8,20231.766666666666,3.376541919297509,0.0,18240,1.28,1.89,250766573568.0,3830149120.0,171542368256.0,2948034560.0,20171571200.0,0.0,0.001149268654682531,0.14635166213673428,10644,3820,0,589,69996.8,0.6376750993100565,0.0,0.0,3.258225159164305,0.0,10486.166666666666,9816.6,0.2333333333333333,8.166666666666666,5.566666666666666,0.1,5.866666666666666,2.592515157850721,8.0
2021-10-30 02:00:30,1371299.5,26.16666666666667,12735.133333333333,1399721.666666667,12802.3,2771021.166666666,25537.43333333333,3.96875,0.0,19200,1.96,2.0,250680811520.0,3830149120.0,171554942976.0,2965147648.0,20240351232.0,0.0,0.0006498865947892093,0.22916666666666666,10597,3821,0,541,86531.0,0.7604166666666666,0.0,0.0,3.2581836398311146,0.0,12782.466666666667,12863.033333333333,0.16666666666666666,10.4,5.7333333333333325,0.06666666666666668,6.0,2.9791666666666665,11.0
2021-10-30 02:01:00,1124940.066666667,27.63333333333333,10466.566666666668,1666169.3,10150.033333333333,2791109.3666666667,20616.6,3.2436378806841897,0.01042970379641218,18048,1.71,1.95,250663456768.0,3830149120.0,171566796800.0,2973241344.0,20251619328.0,0.02085940759282436,0.028505995922193127,0.12515644555694616,10597,3848,0,537,67428.3,0.5736337088026701,0.0,0.0,3.2582102406648614,0.6666666666666666,10502.766666666666,10194.633333333333,5.9,9.066666666666666,5.1,0.1,6.3,2.513558614935336,10.0
2021-10-30 02:01:30,1394360.1,26.16666666666667,12903.166666666664,2344564.833333333,13572.133333333333,3738924.933333333,26475.3,2.842861605748212,0.0,18048,2.01,2.0,250640908288.0,3830149120.0,171596251136.0,2998759424.0,20247408640.0,0.010413412475268143,0.0015065724221918118,0.07289388732687703,10605,3781,0,548,86636.0,0.5623242736644798,0.03333333333333333,0.0,3.2581685774712237,0.0,12928.0,13622.333333333336,0.4,8.9,5.866666666666666,0.06666666666666668,6.333333333333332,2.1972300322815785,11.0
2021-10-30 02:02:00,1112969.833333333,27.566666666666666,10422.4,1174904.8,9792.666666666666,2287874.6333333333,20215.066666666666,2.8791988316294663,0.0,18048,1.74,1.94,250599972864.0,3830149120.0,171600281600.0,3007451136.0,20279877632.0,0.0,0.0006564404190059196,0.1147506780721886,10596,3825,0,540,80936.6,0.8241185061548091,0.0,0.0,3.2581368506653483,0.0,10463.5,9848.066666666668,0.13333333333333333,8.966666666666667,6.3,0.1,6.6,1.9403296474024616,10.0
2021-10-30 02:02:30,1368695.166666667,26.63333333333333,12710.366666666667,2970545.6333333333,13823.366666666667,4339240.8,26533.73333333333,2.68603678929766,0.0,18816,2.01,1.99,250582196224.0,3830149120.0,171619950592.0,3023527936.0,20282286080.0,0.0,0.004007483976325789,0.05225752508361204,10549,3748,0,496,83363.1,0.8361204013377926,0.03333333333333333,0.0,3.258101227822713,0.0,12744.833333333336,13872.033333333333,1.0666666666666669,9.2,4.5,0.06666666666666668,5.166666666666667,1.7976588628762542,8.0
2021-10-30 02:03:00,1121982.0,27.566666666666666,10511.333333333334,1785398.366666667,10270.2,2907380.3666666667,20781.533333333333,2.8705636743215024,0.0,18432,2.23,2.05,250565214208.0,3830149120.0,171623903232.0,3031584768.0,20291280896.0,0.0,0.007030820560675982,0.07306889352818371,10563,3795,0,508,66878.2,0.7933194154488518,0.0,0.0,3.258081693261868,0.43333333333333335,10547.066666666668,10313.466666666667,1.4666666666666666,8.766666666666667,6.4,0.1,6.7,2.004175365344468,12.0
2021-10-30 02:03:30,1376886.833333333,27.1,12733.066666666668,2284882.933333333,13395.133333333333,3661769.766666666,26128.2,2.470293933708561,0.010423181154888472,17856,1.97,2.01,250560155648.00006,3830149120.0,171636641792.0,3040432128.0,20288081920.0,0.0,0.0012698783583520534,0.08338544923910778,10583,3760,0,529,81661.4,0.7087763185324161,0.03333333333333333,0.0,3.2580398750958737,0.0,12784.266666666665,13464.966666666667,0.3333333333333333,7.733333333333332,6.8,0.1,7.3,1.6677089847821556,6.0
2021-10-30 02:04:00,1122774.866666667,27.13333333333333,10520.366666666667,1904993.866666667,10367.533333333333,3027768.733333333,20887.9,2.1705102786183796,0.0,17088,4.85,2.87,250687524864.0,3830149120.0,171532046336.0,2931744767.9999995,20269457408.0,0.0,0.0017474241379639016,0.06261087342168424,10568,3800,0,515,70462.7,0.3965355316706669,0.0,0.0,3.2580086460574824,0.0,10566.266666666666,10417.0,0.36666666666666653,9.033333333333333,6.333333333333332,0.06666666666666668,10.1,1.711363873526036,14.0
2021-10-30 02:04:30,1373548.566666667,28.03333333333333,12711.0,1922982.633333333,13152.466666666667,3296531.2,25863.46666666667,2.802959258101481,0.0,17664,3.53,2.74,250666381312.0,3830149120.0,171544383488.0,2948870144.0,20273106944.0,0.0,0.0011563055267549828,0.06251953735542358,10583,3807,0,532,81379.6,0.8023340627279358,0.03333333333333333,0.0,3.2579673767074104,0.0,12744.733333333335,13199.966666666667,0.3,8.466666666666667,5.666666666666668,0.13333333333333333,6.0,1.9381056580181308,5.0
