,(iface=eth0)inBytes,(iface=eth0)inMulticast,(iface=eth0)inPackets,(iface=eth0)outBytes,(iface=eth0)outPackets,(iface=eth0)totalBytes,(iface=eth0)totalPackets,busy,iowait,kernelFilesAllocated,load1,load5,memAvailable,memBuffers,memCached,memShmem,memUsed,nice,retrans,softirq,ssClosed,ssEstab,ssOrphaned,ssTimeWait,switches,system,tcpAbortOnTimeout,tcpDelayedACKLocked,tcpFastRetransRate,tcpLostRetransmit,tcpPkgInsegs,tcpPkgOutsegs,tcpPkgRetranssegs,tcpTW,udpInDatagrams,udpNoPorts,udpOutDatagrams,user,udpIgnoreMulti_Diff
2021-10-30 08:00:00,1107180.7,27.13333333333333,10355.633333333333,1073732.2333333334,9609.066666666668,2180912.933333333,19964.7,5.1407716371220005,0.020855057351407715,19776,0.83,1.54,250540724224.0,3830169600.0,172064956416.0,3004006400.0,20369907712.0,0.0,0.0033249765589152594,0.28154327424400416,10697,3518,1,635,82861.6,1.8143899895724716,0.03333333333333333,0.0,3.238852254091067,0.0,10396.033333333333,9654.233333333334,0.6666666666666666,9.666666666666666,5.1,0.06666666666666668,8.866666666666667,3.0239833159541187,7.0
2021-10-30 08:00:30,1429909.2666666666,26.63333333333333,13163.466666666667,1453371.333333333,13273.866666666667,2883280.6,26437.33333333333,1.822726799291729,0.0,19392,0.76,1.45,250513944576.00006,3830169600.0,172085846016.0,3021156352.0,20378972160.0,0.010415581710238516,0.0012569856980167275,0.09374023539214664,10692,3627,1,630,86355.1,0.8436621185293199,0.0,0.0,3.2388115206979635,0.0,13194.366666666667,13324.1,0.3333333333333333,11.133333333333333,6.7333333333333325,0.1,7.033333333333332,0.8749088636600355,9.0
2021-10-30 08:01:00,1112805.666666667,26.63333333333333,10431.733333333334,1080388.566666667,9659.266666666666,2193194.233333333,20091.0,3.663500678426047,0.0,18816,0.66,1.36,250492899328.0,3830169600.0,172098572288.0,3037663232.0,20383657984.0,0.0,0.00016513994784880446,0.16699718192255505,10673,3534,0,609,85069.9,1.1167936541070869,0.03333333333333333,0.0,3.2387796833159976,0.0,10472.0,9712.9,0.03333333333333333,9.7,5.466666666666668,0.03333333333333333,5.7,2.3797098423964096,10.0
2021-10-30 08:01:30,1419614.4,28.5,13152.466666666667,1664084.666666667,13391.333333333336,3083699.066666667,26543.8,3.1648213912680205,0.0,19008,0.66,1.29,250489663488.0,3830169600.0,172111036416.0,3046449152.0,20377600000.0,0.0,0.014010648092550341,0.20889910173386256,10663,3645,0,602,86531.8,0.574472529768122,0.0,0.0,3.238773311920246,0.6333333333333333,13196.2,13450.2,3.733333333333333,11.1,5.9,0.06666666666666668,6.766666666666668,2.381449759766033,5.0
2021-10-30 08:02:00,1115263.633333333,27.1,10424.3,1368156.833333333,9843.333333333334,2483420.466666667,20267.63333333333,2.3923944839114033,0.0,18624,0.55,1.2,250474479616.0,3830169600.0,172125077504.0,3055226880.0,20383305728.0,0.0,0.0019656245034750607,0.1880484747179273,10717,3529,1,654,81962.7,1.1282908483075638,0.03333333333333333,0.0,3.2387446252392382,0.0,10455.466666666667,9894.3,0.4,8.8,5.266666666666667,0.13333333333333333,5.6,1.0760551608859172,14.0
2021-10-30 08:02:30,1427757.633333333,27.566666666666666,13190.766666666665,1459779.6,13302.333333333336,2887537.233333333,26493.1,3.6083011784336207,0.0,18816,0.97,1.23,250589827072.0,3830169600.0,172010491904.0,2945486848.0,20377538560.0,0.0,0.002257729902754556,0.2085723224528105,10728,3667,0,666,87433.0,0.5840025028678695,0.0,0.0,3.2387065291010178,0.0,13222.966666666667,13352.4,0.6,10.766666666666667,6.433333333333334,0.06666666666666668,6.7,2.815726353112942,5.0
2021-10-30 08:03:00,1120854.066666667,27.6,10498.466666666667,1081077.8,9704.833333333334,2201931.8666666667,20203.3,2.5153950527084845,0.0,18624,0.99,1.21,250577453056.0,3830169600.0,172022714368.0,2953641984.0,20382756864.0,0.0,0.0016425296928305221,0.20874647740319385,10689,3520,1,625,81627.4,1.0959190063667676,0.0,0.0,3.2386776192506783,0.0,10537.666666666666,9756.233333333334,0.3333333333333333,10.866666666666667,5.333333333333333,0.06666666666666668,6.0,1.2107295689385242,15.0
2021-10-30 08:03:30,1416194.933333333,26.63333333333333,13120.533333333333,1452480.833333333,13244.266666666665,2868675.766666666,26364.8,3.480351170568568,0.0,19008,1.25,1.25,250573369344.0,3830173696.0,172042665984.0,2970796032.0,20370149376.0,0.2612876254180602,0.0016378695600682365,0.21948160535117056,10695,3603,0,629,86592.2,0.8570234113712375,0.0,0.0,3.2386380062708837,0.0,13160.9,13296.233333333335,0.43333333333333335,9.966666666666667,5.3,0.1,6.3,2.142558528428093,5.0
2021-10-30 08:04:00,1105791.2666666666,27.1,10353.766666666666,1076069.433333333,9611.666666666666,2181860.7,19965.433333333334,4.266193804109733,0.0,19584,1.2,1.24,250612416512.0,3830173696.0,172055445504.0,2987954176.0,20314693632.0,0.0,0.00282274334123148,0.18775425054761655,10704,3507,0,636,81213.8,1.2725565870449569,0.0,0.0,3.2386117621697683,0.06666666666666668,10402.666666666666,9672.366666666667,0.5666666666666667,10.5,5.066666666666666,0.06666666666666668,5.333333333333333,2.8058829665171587,14.0
2021-10-30 08:04:30,1411141.0,27.1,13020.8,2756582.2,14026.4,4167723.2,27047.2,3.003977391668413,0.02093364036005861,18624,1.43,1.3,250512437248.0,3830173696.0,172066091008.0,2996711424.0,20405657600.0,0.0,0.0056554688383667,0.1570023027004396,10692,3676,0,626,86419.6,0.9838810969227548,0.0,0.0,3.2385808516167685,0.03333333333333333,13046.266666666665,14066.133333333333,1.5333333333333334,10.466666666666667,5.833333333333332,0.06666666666666668,6.5,1.842160351685158,5.0
