,(iface=eth0)inBytes,(iface=eth0)inMulticast,(iface=eth0)inPackets,(iface=eth0)outBytes,(iface=eth0)outPackets,(iface=eth0)totalBytes,(iface=eth0)totalPackets,busy,iowait,kernelFilesAllocated,load1,load5,memAvailable,memBuffers,memCached,memShmem,memUsed,nice,retrans,softirq,ssClosed,ssEstab,ssOrphaned,ssTimeWait,switches,system,tcpAbortOnTimeout,tcpDelayedACKLocked,tcpFastRetransRate,tcpLostRetransmit,tcpPkgInsegs,tcpPkgOutsegs,tcpPkgRetranssegs,tcpTW,udpInDatagrams,udpNoPorts,udpOutDatagrams,user,udpIgnoreMulti_Diff
2021-10-30 10:00:00,1120639.2666666666,26.63333333333333,10436.3,1082546.333333333,9663.166666666666,2203185.6,20099.466666666667,3.383105356583485,0.0,18816,1.38,1.56,250459447296.0,3830185984.0,172202000384.0,3058970624.0,20415188992.0,0.0,0.0013211544908518311,0.06265009919599039,10661,3524,0,603,67933.1,0.6682677247572308,0.03333333333333333,0.0,3.231726493784865,0.0,10471.433333333332,9712.933333333332,0.26666666666666666,7.733333333333332,6.133333333333334,0.1,6.433333333333334,2.6521875326302595,12.0
2021-10-30 10:00:30,1419257.433333333,27.1,13168.233333333335,1450995.4666666666,13287.533333333333,2870252.9,26455.766666666666,2.452515132540185,0.0,18624,1.15,1.49,250577014784.0,3830185984.0,172079366144.0,2940768256.0,20415889408.0,0.0,0.002511755013463007,0.052181173032769784,10667,3545,1,611,84748.6,0.6366103109997913,0.06666666666666668,0.0,3.2316893404510068,0.0,13208.066666666668,13333.8,0.6666666666666666,10.333333333333334,5.266666666666667,0.1,8.166666666666666,1.7637236485076184,8.0
2021-10-30 10:01:00,1113900.0333333334,27.1,10414.066666666668,1078249.3,9646.366666666667,2192149.333333333,20060.433333333334,1.2947687167171438,0.0,18624,0.9,1.39,250539212800.0,3830185984.0,172100722688.0,2957946879.9999995,20436631552.0,0.0,0.0019855222337125124,0.041766732797326935,10659,3458,0,602,70164.3,0.4698757439699279,0.0,0.03333333333333333,3.2316614590115114,0.0,10449.733333333334,9696.1,0.4,9.7,5.3,0.06666666666666668,6.466666666666668,0.7831262399498798,8.0
2021-10-30 10:01:30,1435204.633333333,27.16666666666667,13254.4,1461994.2333333334,13345.7,2897198.8666666667,26600.1,2.695643088496496,0.031344687075540695,18816,0.94,1.35,250517913600.0,3830185984.0,172113731584.0,2974613504.0,20440748032.0,0.0,0.0012481916823002671,0.06268937415108139,10688,3617,0,633,79883.8,1.0134782154424826,0.03333333333333333,0.03333333333333333,3.2316206571941715,0.0,13295.566666666668,13409.733333333335,0.3333333333333333,10.266666666666667,6.9,0.13333333333333333,7.2333333333333325,1.5881308118273954,10.0
2021-10-30 10:02:00,1117545.833333333,28.03333333333333,10472.2,1082142.7,9700.933333333332,2199688.533333333,20173.13333333333,1.7216193656093566,0.0,19008,1.37,1.45,250513166336.00006,3830185984.0,172126048256.0,2983870464.0,20436762624.0,0.01043405676126878,0.0016453998733042096,0.08347245409015025,10695,3508,0,637,81170.2,0.8034223706176962,0.0,0.0,3.2315919124142183,0.0,10506.366666666667,9752.133333333333,0.3333333333333333,9.633333333333333,6.2,0.03333333333333333,6.433333333333334,0.8242904841402338,5.0
2021-10-30 10:02:30,1421246.866666667,27.1,13171.1,1456613.9666666666,13282.733333333335,2877860.833333333,26453.83333333333,1.8035863219349582,0.0,18816,1.08,1.38,250486628352.00006,3830185984.0,172154753024.0,3008401408.0,20439162880.0,0.0,0.001256077846680626,0.10425354462051707,10692,3592,0,635,79146.1,0.5629691409507923,0.0,0.03333333333333333,3.2315513678463845,0.0,13205.366666666667,13332.266666666665,0.3333333333333333,11.2,5.7,0.06666666666666668,6.366666666666666,1.1363636363636362,15.0
2021-10-30 10:03:00,1105175.666666667,28.066666666666666,10345.333333333334,1069541.0333333334,9603.766666666666,2174716.7,19949.1,1.6360983743226285,0.0,19392,1.6,1.47,250483908608.0,3830190080.0,172158242816.0,3016478720.0,20433645568.0,0.0,0.003326928995017924,0.10421008753647354,10684,3516,2,624,79064.2,0.8441017090454357,0.03333333333333333,0.0,3.2315263446381595,0.0,10383.566666666668,9654.933333333332,0.6666666666666666,9.6,5.0,0.13333333333333333,5.333333333333333,0.6877865777407254,5.0
2021-10-30 10:03:30,1422613.633333333,27.1,13213.5,1458129.7,13321.2,2880743.333333333,26534.7,3.5065748278021265,0.0,19584,1.6800000000000002,1.5,250463092736.0,3830190080.0,172179865600.0,3034128384.0,20436733952.0,0.24003339595074094,0.0017510791024969135,0.12523481527864747,10610,3594,2,548,87168.9,0.7305364224587769,0.06666666666666668,0.0,3.231486990880114,0.0,13266.1,13384.133333333333,0.4666666666666667,10.666666666666666,5.633333333333334,0.06666666666666668,6.1,2.410770194113964,14.0
2021-10-30 10:04:00,1115210.633333333,27.566666666666666,10351.7,1079253.866666667,9618.433333333332,2194464.5,19970.13333333333,1.6179540709812132,0.0,19200,1.6800000000000002,1.53,250453733376.0,3830190080.0,172191322112.0,3042426880.0,20438253568.000004,0.0,0.0014956899202132519,0.14613778705636746,10672,3443,1,609,79355.5,0.9603340292275574,0.0,0.0,3.2314581813731773,0.0,10388.2,9669.433333333332,0.3,9.166666666666666,7.433333333333334,0.06666666666666668,8.6,0.511482254697286,5.0
2021-10-30 10:04:30,1423644.4666666666,28.03333333333333,13197.933333333332,1458216.933333333,13314.2,2881861.4,26512.13333333333,1.2402292860865032,0.0,19968,1.83,1.59,250458861568.0,3830190080.0,172195725312.0,3051200512.0,20424114176.0,0.0,0.003636988423089609,0.06253256904637833,10727,3574,0,668,83692.6,0.8233454924439813,0.03333333333333333,0.0,3.2314240296650203,0.0,13225.166666666664,13353.6,0.9666666666666668,7.833333333333332,6.2666666666666675,0.1,6.566666666666666,0.3543512245961438,14.0
2021-10-30 10:05:00,1121878.7,27.566666666666666,10384.166666666666,1073344.4666666666,9633.266666666666,2195223.166666666,20017.433333333334,3.4673629242819857,0.0,19584,1.72,1.6,250568069120.00006,3830190080.0,172090089472.0,2941861888.0,20424880128.0,0.0,0.0006626630772416651,0.13577023498694518,10677,3447,3,617,82053.9,1.2741514360313315,0.0,0.0,3.231393436149117,0.0,10425.466666666667,9695.366666666667,0.13333333333333333,12.266666666666667,5.366666666666666,0.1,5.7333333333333325,2.057441253263708,6.0
