,(iface=eth0)inBytes,(iface=eth0)inMulticast,(iface=eth0)inPackets,(iface=eth0)outBytes,(iface=eth0)outPackets,(iface=eth0)totalBytes,(iface=eth0)totalPackets,busy,iowait,kernelFilesAllocated,load1,load5,memAvailable,memBuffers,memCached,memShmem,memUsed,nice,retrans,softirq,ssClosed,ssEstab,ssOrphaned,ssTimeWait,switches,system,tcpAbortOnTimeout,tcpDelayedACKLocked,tcpFastRetransRate,tcpLostRetransmit,tcpPkgInsegs,tcpPkgOutsegs,tcpPkgRetranssegs,tcpTW,udpInDatagrams,udpNoPorts,udpOutDatagrams,user,udpIgnoreMulti_Diff
2021-10-31 21:45:00,1281673.6333333333,26.2,11950.433333333332,2283710.5,12279.233333333334,3565384.1333333333,24229.666666666668,2.3908958028816016,0.0,18240,1.26,2.06,250538655744.0,4129538048.0,175104106496.0,3001094144.0,20589903872.0,0.0,0.001779427626572,0.1044059302568385,10601,3748,0,535,83887.4,0.3758613489246189,0.0,0.0,3.372133186365168,0.0,12005.0,12347.4,0.4333333333333333,9.033333333333331,3.733333333333333,0.0666666666666666,4.066666666666666,1.9106285237001464,11.0
2021-10-31 21:45:30,1312613.1,27.1,12217.3,2858562.066666667,13044.4,4171175.1666666665,25261.7,3.3357732928997166,0.0,19008,1.09,1.94,250530725888.00003,4129538048.0,175117381632.0,3009830912.0,20597280768.0,0.0,0.0019750693578522,0.1673115131234968,10501,3907,0,438,83465.5,0.5960472655024575,0.0333333333333333,0.0,3.372095286963002,0.0,12240.733333333334,13074.833333333334,0.5,8.1,3.933333333333333,0.1333333333333333,4.666666666666667,2.572414514273764,7.0
2021-10-31 21:46:00,1297774.933333333,27.566666666666663,12095.366666666669,2733994.7666666666,12683.066666666668,4031769.7,24778.43333333333,2.410518626734841,0.0313054367108421,18432,1.77,2.05,250521935872.0,4129538048.0,175144816640.0,3026272256.0,20586373120.0,0.0,0.0013387328893202,0.0834811645622456,10559,3738,0,497,78913.2,0.8452467911927372,0.0333333333333333,0.0,3.3720568304794045,0.0,12147.9,12751.266666666666,0.3333333333333333,6.933333333333334,3.7666666666666666,0.0666666666666666,4.033333333333333,1.4504852342690182,12.0
2021-10-31 21:46:30,1330449.5,26.633333333333333,12384.3,4153114.966666667,14031.466666666667,5483564.466666667,26415.766666666663,4.20624151967435,0.0,19200,1.64,2.0,250538078208.0,4129538048.0,175151169536.0,3033952256.0,20559650816.0,0.0,0.0529440683734825,0.2191838012733535,10566,3935,0,507,71963.8,0.7306126709111783,0.0,0.0,3.3721466655504915,1.0,12404.033333333333,14038.966666666667,14.0,7.566666666666666,4.033333333333333,0.1,4.133333333333334,3.2564450474898234,7.0
2021-10-31 21:47:00,1300315.933333333,28.23333333333333,12141.5,2709791.1666666665,12699.666666666666,4010107.1,24841.166666666668,1.4386989157631405,0.0,18816,1.6,1.95,250673295360.00003,4129538048.0,175039459328.0,2916827136.0,20550987776.0,0.0,0.0233610551187409,0.0938281901584653,10603,3730,0,545,78120.6,0.4065888240200166,0.0333333333333333,0.0,3.3721614650745395,0.0,12198.566666666668,12771.766666666666,5.833333333333333,8.366666666666667,3.8333333333333335,0.0666666666666666,4.3,0.938281901584654,12.0
2021-10-31 21:47:30,1323669.433333333,26.633333333333333,12283.933333333332,2007897.1666666667,12570.633333333331,3331566.6,24854.566666666666,4.646801416961864,0.0,18816,1.65,1.92,250722652160.0,4129538048.0,175061012480.0,2933981184.0,20486651904.0,0.0,0.0009370540626648,0.2708897687018129,10601,3941,0,543,73107.7,1.2919358199624922,0.0,0.0,3.3721225395150287,0.0,12302.333333333334,12598.4,0.2333333333333333,8.533333333333333,3.966666666666667,0.1,5.166666666666667,3.0839758282975622,6.0
2021-10-31 21:48:00,103636540.2,27.1,80623.23333333334,1895157.2666666664,14334.9,105531697.46666668,94958.13333333332,2.875666631810091,0.6797030220642059,19008,1.59,1.89,248175738880.00003,4129579008.000001,174997491712.0,2950438912.0,22972473344.0,0.0,0.0063660409909379,0.1568545435532782,10694,5129,0,574,95637.0,0.8051866569068284,0.0,0.0666666666666666,3.3720948736578995,0.0,17023.133333333335,14393.566666666668,2.0,8.366666666666667,3.8666666666666663,0.0666666666666666,6.7333333333333325,1.233922409285789,15.0
2021-10-31 21:48:30,93025510.86666666,27.133333333333333,73030.86666666667,1443628.4666666666,13317.533333333333,94469139.33333331,86348.4,7.573221757322173,0.0,19392,2.68,2.12,250284023808.0,4129579008.000001,177627308032.0,2967695360.0,20986970112.0,0.0,0.0026274542696637,0.2824267782426778,10604,4312,0,547,264623.0,1.809623430962343,0.0,0.0666666666666666,3.3720525147170792,0.0,17457.633333333335,15527.4,0.8666666666666667,9.666666666666666,3.8666666666666663,0.0666666666666666,4.333333333333333,5.481171548117155,6.0
2021-10-31 21:49:00,1387327.1666666667,26.633333333333333,12853.7,1396740.566666667,12700.533333333333,2784067.7333333334,25554.233333333334,2.932888007514876,0.0,19392,3.16,2.32,250537193472.0,4129595392.0,178884038656.0,2976432128.0,20974862336.000004,0.0,0.0016877702866742,0.1043732387015969,10640,4008,0,580,174125.8,1.0541697108861288,0.0,0.0,3.372014969598188,0.0,12904.766666666666,12770.133333333331,0.4333333333333333,9.2,3.9,0.1,4.6,1.7743450579271474,12.0
2021-10-31 21:49:30,1289135.7,27.1,12002.233333333334,1285175.2666666666,11650.466666666667,2574310.966666667,23652.7,3.272841707752022,0.0,19584,2.84,2.31,250547855360.00003,4129599488.0,178913587200.0,3001937920.0,20942843904.0,0.0,0.0012660720817038,0.1783279135634113,10602,4121,0,550,84543.0,0.6713521451799014,0.1,0.0,3.3719797084867094,0.0,12019.033333333333,11676.3,0.3,8.866666666666667,4.033333333333333,0.0333333333333333,4.266666666666667,2.4231616490087067,7.0
2021-10-31 21:50:00,1381726.2333333334,26.633333333333333,12871.466666666667,1400250.3666666667,12695.166666666666,2781976.6,25566.63333333333,2.805590321234888,0.0,19584,2.6,2.31,250547740672.0,4129599488.0,178917158912.0,3008978944.0,20940746752.0,0.0,0.0012974341941376,0.0521485189820609,10569,3997,0,518,75276.6,0.4901960784313725,0.0333333333333333,0.0333333333333333,3.3719412125110013,0.0,12926.733333333334,12765.0,0.3333333333333333,10.333333333333334,3.7,0.1333333333333333,4.033333333333333,2.263245723821443,13.0
