,(iface=eth0)inBytes,(iface=eth0)inMulticast,(iface=eth0)inPackets,(iface=eth0)outBytes,(iface=eth0)outPackets,(iface=eth0)totalBytes,(iface=eth0)totalPackets,busy,iowait,kernelFilesAllocated,load1,load5,memAvailable,memBuffers,memCached,memShmem,memUsed,nice,retrans,softirq,ssClosed,ssEstab,ssOrphaned,ssTimeWait,switches,system,tcpAbortOnTimeout,tcpDelayedACKLocked,tcpFastRetransRate,tcpLostRetransmit,tcpPkgInsegs,tcpPkgOutsegs,tcpPkgRetranssegs,tcpTW,udpInDatagrams,udpNoPorts,udpOutDatagrams,user,udpIgnoreMulti_Diff
2021-10-31 18:15:00,1204405.1666666667,27.566666666666663,11133.8,1622713.2666666666,11282.366666666669,2827118.433333333,22416.166666666668,1.3069845253032213,0.0,18432,1.15,1.25,250557276160.0,4033081344.0,104152297472.00002,2994765824.0,19807662080.0,0.0,0.0028155572876995,0.0522793810121288,10668,3015,0,614,80024.7,0.3764115432873274,0.0,0.0,3.273760997928649,0.0,11166.633333333331,11327.433333333332,0.6333333333333333,9.7,5.3,0.1,6.066666666666666,0.8782936010037641,11.0
2021-10-31 18:15:30,1052782.1333333333,26.166666666666668,9795.366666666669,1053865.7333333334,9442.333333333334,2106647.8666666667,19237.7,2.447186781008156,0.0,18240,1.24,1.28,250531536896.0,4033081344.0,104173604864.0,3020283904.0,19809071104.0,0.0,0.0031017155933581,0.1882451370006275,10667,2772,0,613,79960.4,0.4392386530014641,0.0,0.0,3.2737365090084243,0.0,9843.166666666666,9500.966666666667,0.6,10.5,4.966666666666667,0.0666666666666666,5.7333333333333325,1.8197029910060656,10.0
2021-10-31 18:16:00,1204392.0,27.566666666666663,11104.1,1408749.7666666666,11107.866666666669,2613141.7666666666,22211.966666666667,0.8445417578980283,0.0,18048,1.08,1.24,250537807872.0,4033081344.0,104186572800.00002,3028992000.0,19793379328.0,0.0,0.0010469043039731,0.0625586487331873,10661,2920,0,609,70631.8,0.2919403607548743,0.0,0.0,3.273703165339547,0.0,11134.1,11153.833333333334,0.2333333333333333,9.833333333333334,5.766666666666668,0.0666666666666666,6.033333333333333,0.4900427484099677,10.0
2021-10-31 18:16:30,1069837.6666666667,25.73333333333333,9943.133333333331,1114571.3666666667,9593.533333333333,2184409.033333333,19536.666666666668,1.0205144225762837,0.0,19008,1.08,1.23,250497847296.0,4033081344.0,104198848512.00002,3045502976.0,19817132032.0,0.0,0.0016985311102958,0.0520670623763407,10633,2846,1,580,65265.6,0.3852962615849213,0.0,0.0,3.2736756209920497,0.0,9981.3,9643.5,0.3333333333333333,10.466666666666669,6.633333333333334,0.1,7.333333333333333,0.5831510986150161,7.0
2021-10-31 18:17:00,1200678.566666667,28.433333333333334,11112.0,1219521.5,10994.6,2420200.066666667,22106.6,1.3972888425443273,0.0,18432,1.12,1.22,250497736704.0,4033081344.0,104211243008.0,3054223360.0,19808444416.0,0.0,0.0037528070997105,0.0417101147028154,10686,3014,0,634,63798.0,0.291970802919708,0.0333333333333333,0.0,3.273648462434675,0.0,11155.4,11050.2,0.8333333333333334,9.8,5.3,0.1,5.666666666666667,1.0636079249217936,13.0
2021-10-31 18:17:30,1076469.433333333,27.1,9993.7,1070359.2666666666,9593.766666666666,2146828.7,19587.466666666667,1.3238819972896891,0.0312728030855832,18240,1.3,1.27,250588835840.0,4033081344.0,104105816064.0,2944503808.0,19827290112.0,0.0,0.0020340362058444,0.0416970707807776,10690,2886,0,639,66765.2,0.5733347232356928,0.0,0.0,3.273621589265129,0.0,10028.033333333333,9637.3,0.4,9.433333333333334,5.566666666666666,0.0666666666666666,8.433333333333334,0.6775774001876369,5.0
2021-10-31 18:18:00,1196321.6333333333,25.7,11033.7,1210674.3333333333,10935.333333333334,2406995.966666667,21969.033333333333,2.2755741127348728,0.0,17856,1.39,1.29,250590650368.0,4033081344.0,104110784512.0,2953252864.0,19816394752.0,0.0,0.0004532050662283,0.0730688935281837,10680,2994,0,626,66975.3,0.9603340292275574,0.0,0.0,3.273587469365975,0.0,11074.633333333331,10990.433333333332,0.1,11.6,5.233333333333333,0.0666666666666666,5.9,1.2421711899791232,15.0
2021-10-31 18:18:30,1068545.9666666666,27.566666666666663,9897.1,1085759.066666667,9542.2,2154305.033333333,19439.3,2.732867424637533,0.0,18240,1.53,1.36,250492977152.0,4033081344.0,104140509184.0,2978217984.0,19890241536.0,0.1981850422447063,0.002557941641414,0.0625847501825388,10720,2861,0,668,72669.9,0.7823093772817357,0.0,0.0,3.2735616846218427,0.0,9944.7,9602.266666666666,0.5,9.466666666666669,7.7666666666666675,0.1,8.866666666666667,1.6897882549285492,5.0
2021-10-31 18:19:00,1194539.9666666666,25.73333333333333,11056.933333333332,1459206.5333333334,11119.2,2653746.5,22176.13333333333,1.553539776874146,0.0,18240,1.46,1.35,250563190784.0,4033081344.0,104146071552.0,2986938368.0,19811192832.0,0.0104264414555312,0.0458167509634993,0.1042644145553122,10694,3045,0,639,81982.8,0.3753518923991242,0.0333333333333333,0.0,3.273625532285119,0.3,11099.133333333331,11163.466666666667,10.2,11.2,5.3,0.0666666666666666,5.6,1.0634970284641851,15.0
2021-10-31 18:19:30,1080439.4666666666,27.566666666666663,9958.066666666668,1071080.7666666666,9574.666666666666,2151520.2333333334,19532.733333333334,2.447151931688026,0.0,18048,1.58,1.4,250520657920.00003,4033081344.0,104175800320.0,3012472832.0,19828776960.0,0.0,0.0045885124042785,0.1249609497032177,10672,2888,0,618,83613.3,0.4165364990107257,0.0,0.0,3.273603580750084,0.0,9990.433333333332,9623.766666666666,0.9,10.766666666666667,5.433333333333334,0.1,6.133333333333334,1.9056544829740705,4.0
