,(iface=eth0)inBytes,(iface=eth0)inMulticast,(iface=eth0)inPackets,(iface=eth0)outBytes,(iface=eth0)outPackets,(iface=eth0)totalBytes,(iface=eth0)totalPackets,busy,iowait,kernelFilesAllocated,load1,load5,memAvailable,memBuffers,memCached,memShmem,memUsed,nice,retrans,softirq,ssClosed,ssEstab,ssOrphaned,ssTimeWait,switches,system,tcpAbortOnTimeout,tcpDelayedACKLocked,tcpFastRetransRate,tcpLostRetransmit,tcpPkgInsegs,tcpPkgOutsegs,tcpPkgRetranssegs,tcpTW,udpInDatagrams,udpNoPorts,udpOutDatagrams,user,udpIgnoreMulti_Diff
2021-10-31 23:05:00,1492285.6,28.53333333333333,13849.933333333332,1531745.8333333333,13961.933333333332,3024031.433333333,27811.866666666665,1.6367806505421214,0.0,19776,1.65,2.08,250614185984.0,4129865728.000001,197054300160.0,2948562944.0,21251325952.000004,0.0,0.0014339161804296,0.0521267723102585,10587,4213,0,534,78803.2,0.3336113427856547,0.0,0.0,3.366947983708972,0.0,13886.0,14009.633333333331,0.4,9.1,3.6666666666666665,0.0666666666666666,4.0,1.2510425354462051,11.0
2021-10-31 23:05:30,1267717.0333333334,26.633333333333333,11856.366666666669,1245970.9666666666,11322.066666666668,2513688.0,23178.43333333333,2.949145477282201,0.0,19776,1.34,1.96,250611003392.0,4129865728.000001,197075296256.0,2965680128.0,21236948992.000004,0.0,0.0018625629152261,0.1354731137974155,10611,4200,0,556,79645.5,0.4689453939141309,0.0666666666666666,0.0,3.3669151277018914,0.0,11894.033333333333,11371.4,0.4333333333333333,7.933333333333334,3.933333333333333,0.1333333333333333,4.266666666666667,2.3447269695706545,6.0
2021-10-31 23:06:00,1491618.1333333333,27.566666666666663,13848.5,1524411.6333333333,13951.466666666667,3016029.7666666666,27799.966666666667,2.401837928153725,0.0417710944026733,19584,1.45,1.95,250584883200.0,4129865728.000001,197079580672.0,2974408704.0,21254512640.0,0.0,0.0010760504643755,0.1357560568086883,10627,4222,0,574,80433.4,0.8876357560568087,0.0,0.0,3.3668724278857045,0.0,13882.7,13997.033333333333,0.3,9.7,3.6666666666666665,0.0666666666666666,4.333333333333333,1.3366750208855471,15.0
2021-10-31 23:06:30,1261378.5,26.633333333333333,11752.666666666666,1239739.5,11234.9,2501118.0,22987.566666666666,2.7832794746169043,0.0312728030855832,19008,1.49,1.92,250577539072.00003,4129865728.000001,197107695616.0,2998226944.0,21238968320.0,0.0,0.0008668015024559,0.0833941415615553,10623,4146,0,574,72264.4,0.906911289481914,0.0,0.0,3.366837596172299,0.0,11788.033333333333,11285.3,0.2,8.7,3.933333333333333,0.1,4.233333333333333,1.7617012404878558,5.0
2021-10-31 23:07:00,1477806.0333333334,27.766666666666666,13698.0,1513105.5333333334,13833.066666666668,2990911.566666667,27531.066666666666,3.029036975141011,0.0,19008,1.98,1.98,250581970944.0,4129865728.000001,197111943168.0,3006935040.0,21225992192.0,0.0,0.0026562701861441,0.1566743263003969,10584,4213,0,533,78467.6,0.4386881136411113,0.0,0.0,3.3667994831394727,0.0,13730.8,13876.833333333334,0.7333333333333333,10.4,3.933333333333333,0.0666666666666666,4.7,2.433674535199499,14.0
2021-10-31 23:07:30,1253309.7666666666,27.1,11705.833333333334,1234496.6333333333,11209.866666666669,2487806.4,22915.7,2.827334376630148,0.0,18816,1.38,1.83,250556874752.0,4129865728.000001,197133234176.00003,3024080896.0,21234245632.0,0.0,0.0,0.1043296817944705,10571,4260,0,520,78478.7,0.3755868544600939,0.0,0.0,3.366762796763127,0.0,11744.5,11261.066666666668,0.0,8.5,4.066666666666666,0.0666666666666666,4.7333333333333325,2.347417840375587,4.0
2021-10-31 23:08:00,1491104.5,29.433333333333334,13861.466666666667,1523303.7666666666,13960.0,3014408.2666666666,27821.466666666667,3.1598706851600724,0.0,19200,1.54,1.82,250563416064.0,4129865728.000001,197145632768.0,3032768512.0,21218627584.0,0.0,0.001434380670286,0.0312858483679215,10549,4179,0,496,77279.4,0.5005735738867453,0.0,0.0,3.3667210664269205,0.0,13888.866666666669,13997.733333333334,0.4,9.166666666666666,3.633333333333333,0.1,3.933333333333333,2.6280112629054124,17.0
2021-10-31 23:08:30,1272127.1333333333,27.6,11863.066666666668,2487447.333333333,12140.3,3759574.466666667,24003.366666666665,3.015442404006677,0.0,18816,1.33,1.74,250527498240.0,4129865728.000001,197160488960.0,3049394176.0,21235634176.0,0.0,0.0011053174057095,0.1252086811352253,10590,4181,0,532,80090.5,0.5112687813021702,0.0333333333333333,0.0,3.366683883522802,0.0,11919.7,12206.1,0.2666666666666666,8.133333333333333,4.0,0.1,7.1,2.378964941569282,3.0
2021-10-31 23:09:00,1493832.6,27.566666666666663,13805.066666666668,1521924.9666666666,13929.4,3015757.566666667,27734.466666666667,1.7523730051110815,0.0,19008,1.37,1.72,250625024000.0,4129865728.000001,197047341056.0,2932281343.9999995,21255184384.0,0.0,0.0016787939544231,0.2503390007301554,10586,4229,1,528,82205.6,0.5841243350370293,0.0333333333333333,0.0,3.3666428962530306,0.0,13829.433333333332,13968.3,0.4666666666666667,8.2,4.033333333333333,0.0666666666666666,4.7,0.9179096693439032,17.0
2021-10-31 23:09:30,1270477.566666667,26.633333333333333,11879.566666666668,1255206.7666666666,11350.566666666668,2525684.333333333,23230.13333333333,2.10614117401731,0.0,18240,1.13,1.63,250644271104.0,4129865728.000001,197060030464.0,2949398528.0,21218320384.0,0.0,0.0004284716558858,0.1459701803774371,10581,4245,0,520,80010.5,0.5421749556876239,0.0333333333333333,0.0,3.3666066926946154,0.0,11927.8,11410.966666666667,0.1,9.166666666666666,3.8,0.1,4.1,1.417996037952247,5.0
