,(iface=eth0)inBytes,(iface=eth0)inMulticast,(iface=eth0)inPackets,(iface=eth0)outBytes,(iface=eth0)outPackets,(iface=eth0)totalBytes,(iface=eth0)totalPackets,busy,iowait,kernelFilesAllocated,load1,load5,memAvailable,memBuffers,memCached,memShmem,memUsed,nice,retrans,softirq,ssClosed,ssEstab,ssOrphaned,ssTimeWait,switches,system,tcpAbortOnTimeout,tcpDelayedACKLocked,tcpFastRetransRate,tcpLostRetransmit,tcpPkgInsegs,tcpPkgOutsegs,tcpPkgRetranssegs,tcpTW,udpInDatagrams,udpNoPorts,udpOutDatagrams,user,udpIgnoreMulti_Diff
2021-11-01 01:05:00,1504409.3,26.633333333333333,13967.1,1544474.2,14069.466666666667,3048883.5,28036.566666666666,2.039966694421309,0.0,18624,0.72,1.48,250508509184.0,4129869824.0,197440139264.0,3016093696.0,21124587520.000004,0.0,0.0013036851624036,0.2185678601165695,10622,4084,0,572,80232.8,0.5828476269775188,0.0666666666666666,0.0,3.359308083491103,0.0,14005.6,14119.8,0.3666666666666666,7.266666666666667,3.8333333333333335,0.0666666666666666,4.166666666666667,1.2385512073272271,7.0
2021-11-01 01:05:30,1286868.1333333333,27.1,12003.766666666666,1267374.7333333334,11456.2,2554242.8666666667,23459.966666666667,2.237323575535811,0.0,18240,1.45,1.59,250491236352.0,4129869824.0,197452763136.0,3033219072.0,21124775936.0,0.0,0.0016995120984017,0.0522739153162571,10662,4054,0,608,71282.4,0.2718243596445374,0.0333333333333333,0.0,3.359274666019741,0.0,12034.633333333331,11501.533333333333,0.4,7.5,4.033333333333333,0.0666666666666666,4.7,1.913225300575013,14.0
2021-11-01 01:06:00,1506815.1333333333,27.1,13992.066666666668,1536979.9,14060.7,3043795.033333333,28052.766666666663,2.066590126291615,0.0,18048,1.54,1.6,250493554688.0,4129869824.0,197464969216.0,3041312768.0,21113991168.0,0.0,0.0028430730302538,0.1565598580523953,10648,4125,0,596,78320.8,0.5218661935079846,0.0,0.0,3.359236658263481,0.0333333333333333,14029.7,14108.866666666669,0.8,10.166666666666666,3.733333333333333,0.1333333333333333,4.066666666666666,1.388164074731239,4.0
2021-11-01 01:06:30,1279146.1666666667,28.03333333333333,11912.1,1253293.7333333334,11381.566666666668,2532439.9,23293.666666666668,3.1833837803987137,0.0208746477403193,18624,1.91,1.7,250489626624.0,4129869824.0,197469618176.0,3050008576.0,21109268480.0,0.0,0.0004277086790645,0.0834985909612775,10606,4052,0,551,69606.6,0.7932366141321365,0.0,0.0,3.3592005718498026,0.0,11947.9,11432.5,0.1,8.2,3.8,0.0333333333333333,4.033333333333333,2.285773927564972,15.0
2021-11-01 01:07:00,1506092.5,28.23333333333333,13997.233333333334,1896079.8666666667,14307.9,3402172.3666666667,28305.13333333333,2.5271512113617405,0.0,18432,1.8,1.71,250569482240.0,4129869824.0,197364264960.0,2940284928.0,21139369984.0,0.0,0.0009395074632124,0.0522138680033416,10589,4100,0,534,72790.9,0.8458646616541353,0.0333333333333333,0.0,3.3591566326708606,0.0,14031.633333333331,14352.033333333333,0.2666666666666666,8.433333333333334,3.966666666666667,0.1,5.166666666666667,1.6290726817042605,5.0
2021-11-01 01:07:30,1280042.9666666666,27.133333333333333,11964.333333333334,1389121.6666666667,11516.466666666667,2669164.6333333333,23480.8,1.7496354926057194,0.0,18432,1.36,1.61,250579947520.0,4129869824.0,197376253952.0,2948976640.0,21120012288.0,0.0,0.0011313145026034,0.083315975838367,10566,4044,0,513,71309.5,0.4582378671110185,0.0,0.0,3.3591217174711527,0.0,12003.6,11567.8,0.2666666666666666,8.4,4.066666666666666,0.1,4.366666666666666,1.2080816496563216,13.0
2021-11-01 01:08:00,1500620.6,27.1,13952.566666666668,2048356.066666667,14370.0,3548976.6666666665,28322.566666666666,1.3690040756609818,0.0,18432,1.38,1.58,250616745984.0,4129869824.0,197389078528.0,2966089728.0,21066665984.0,0.0,0.0158416678107871,0.1881074302434946,10548,4073,0,495,85148.2,0.4284669244435155,0.0333333333333333,0.0,3.359118418055675,0.4666666666666667,13991.6,14414.5,4.5,9.4,3.6666666666666665,0.0333333333333333,3.9,0.7524297209739785,6.0
2021-11-01 01:08:30,1280014.3666666667,27.1,11939.966666666667,1696755.7666666666,11701.2,2976770.1333333333,23641.166666666668,2.5491015461763453,0.0,18432,1.66,1.62,250526511104.0,4129869824.0,197410021376.0,2982690816.0,21141135360.0,0.0,0.000280889802717,0.0626828249059757,10556,4085,0,502,76083.4,0.5223568742164647,0.0,0.0333333333333333,3.35908098948666,0.0,11985.7,11748.4,0.0666666666666666,7.3,4.1,0.1,7.6,1.9640618470539075,13.0
2021-11-01 01:09:00,1520465.7333333334,27.1,14067.6,1698508.5,14238.4,3218974.2333333334,28306.0,1.6767340137471365,0.0,18048,1.28,1.53,250528210944.0,4129869824.0,197413933056.0,2991419392.0,21130170368.0,0.0,0.002230353229258,0.0520724848989793,10559,4134,0,510,78326.3,0.4061653822120391,0.0333333333333333,0.0,3.359040776651673,0.0,14101.233333333334,14294.866666666669,0.6333333333333333,9.066666666666666,3.8333333333333335,0.1,4.133333333333334,1.2184961466361175,4.0
2021-11-01 01:09:30,1284369.7,28.03333333333333,12003.633333333331,1262431.2333333334,11474.166666666666,2546800.933333333,23477.8,2.9491738130098213,0.0,19200,1.28,1.51,250516942848.0,4129873920.0,197426229248.0,3016884224.0,21115211776.0,0.0,0.0008486923066042,0.0418322526668061,10577,4129,0,525,70632.7,0.397406400334658,0.0,0.0,3.3590053607079606,0.0,12040.866666666669,11524.8,0.2,7.433333333333334,3.8333333333333335,0.0666666666666666,4.1,2.5099351600083666,17.0
